,#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Cases/1M pop,Death1m,TotalTest,Test1MPeople,population,region,1CaseEveryXPPL,1DeathEveryXPPL,1TestEveryXPPL,temp,X,Y
1,,"
North America
","63,029,155","+10,415","1,235,079",+91,"49,696,842","+1,785","12,097,234","21,766",,,,,,North America,"
",,,,,
2,,"
Asia
","84,142,306","+59,222","1,248,809",+698,"81,469,165","+70,637","1,424,332","29,429",,,,,,Asia,"
",,,,,
3,,"
South America
","39,456,644","+1,170","1,190,542",+21,"37,402,821","+2,645","863,281","12,641",,,,,,South America,"
",,,,,
4,,"
Europe
","83,415,659","+148,636","1,509,232","+1,718","72,791,362","+173,314","9,115,065","22,582",,,,,,Europe,"
",,,,,
5,,"
Africa
","9,559,857","+15,189","227,749",+80,"8,554,843","+14,634","777,265","1,742",,,,,,Africa,"
",,,,,
6,,"
Oceania
","463,515","+8,814","4,450",+3,"374,304",+239,"84,761",176,,,,,,Australia/Oceania,"
",,,,,
7,,"

",721,,15,,706,,0,0,,,,,,,"
",,,,,
8,,World,"280,067,857","+243,446","5,415,876","+2,611","250,290,043","+263,254","24,361,938","88,336","35,930",694.8,,,,All,"
",,,,,
9,1,USA,"53,033,604","+6,839","837,779 ",,"41,001,184",,"11,194,641","16,104","158,842","2,509","798,517,464","2,391,655","333,876,557 ",North America,6,399,0,20,,"33,529"
10,2,India,"34,786,802",,"479,682 ",,"34,230,354","+7,091","76,766","8,944","24,846",343,"671,997,082","479,968","1,400,087,391 ",Asia,40,"2,919",2,,,55
11,3,Brazil,"22,234,626",,"618,457 ",,"21,414,318",,"201,851","8,318","103,515","2,879","63,776,166","296,914","214,796,423 ",South America,10,347,3,,,940
12,4,UK,"11,891,292",,"147,857 ",,"9,961,369",,"1,782,066",842,"173,814","2,161","395,579,689","5,782,142","68,414,037 ",Europe,6,463,0,,,"26,048"
13,5,Russia,"10,392,020","+23,721","304,218 ",+968,"9,259,771","+37,285","828,031","2,300","71,165","2,083","238,300,000","1,631,888","146,027,142 ",Europe,14,480,1,162,7,"5,670"
14,6,Turkey,"9,307,124","+20,138","81,576 ",+173,"8,943,724","+21,214","281,824","1,128","108,624",952,"116,853,740","1,363,803","85,682,302 ",Asia,9,"1,050",1,235,2,"3,289"
